COLEGIADOS	01	2007	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
%         	03	2016	ES	pie_pagina          	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MT        	03	2016	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MUOR      	03	2016	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MUPF      	03	2016	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
PREM      	03	2016	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
PROFOR    	03	2016	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
SRECTIF   	03	2016	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
SVAR      	03	2016	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MUPC      	03	2016	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MT        	03	2016	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
MUOR      	03	2016	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
MUPF      	03	2016	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
PREM      	03	2016	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
PROFOR    	03	2016	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
SRECTIF   	03	2016	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
SVAR      	03	2016	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
MUPC      	03	2016	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
COLEGIADOS	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
CUOTA     	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
DV        	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
VAR       	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
SEP       	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPO      	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
ACTEXT    	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2017	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
PREMAA    	01	2017	% 	Cabecera            	RECIBO 
MUSAAT    	01	2017	% 	Cabecera            	RECIBO 
ADES      	01	2017	% 	Cabecera            	RECIBO 
MT        	03	2017	% 	Cabecera            	RECIBO 
SRECTIF   	03	2017	% 	Cabecera            	RECIBO 
PROFOR    	01	2017	% 	Cabecera            	PROFORMA
PROFOR    	03	2017	% 	Cabecera            	PROFORMA
COLEGIADOS	01	2017	% 	N_fact              	FACTURA N?
CLIEN     	01	2017	% 	N_fact              	FACTURA N?
CUOTA     	01	2017	% 	N_fact              	FACTURA N?
DV        	01	2017	% 	N_fact              	FACTURA N?
VAR       	01	2017	% 	N_fact              	FACTURA N?
MU        	01	2017	% 	N_fact              	FACTURA N?
SEP       	01	2017	% 	N_fact              	FACTURA N?
RECTIF    	01	2017	% 	N_fact              	FACTURA N?
EXPO      	01	2017	% 	N_fact              	FACTURA N?
ACTEXT    	01	2017	% 	N_fact              	FACTURA N?
EXPEDI    	01	2017	% 	N_fact              	FACTURA N?
PROFOR    	01	2017	% 	N_fact              	PROFORMA N?
PROFOR    	03	2017	% 	N_fact              	PROFORMA N?
PREMAA    	01	2017	% 	N_fact              	RECIBO N?
MUSAAT    	01	2017	% 	N_fact              	RECIBO N?
ADES      	01	2017	% 	N_fact              	RECIBO N?
MT        	03	2017	% 	N_fact              	RECIBO N?
SRECTIF   	03	2017	% 	N_fact              	RECIBO N?
PROFOR    	01	2017	% 	Total_fact          	TOTAL PROFORMA
PROFOR    	03	2017	% 	Total_fact          	TOTAL PROFORMA
COLEGIADOS	01	2017	% 	Total_fact          	TOTAL FACTURA
CLIEN     	01	2017	% 	Total_fact          	TOTAL FACTURA
CUOTA     	01	2017	% 	Total_fact          	TOTAL FACTURA
DV        	01	2017	% 	Total_fact          	TOTAL FACTURA
VAR       	01	2017	% 	Total_fact          	TOTAL FACTURA
MU        	01	2017	% 	Total_fact          	TOTAL FACTURA
SEP       	01	2017	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2017	% 	Total_fact          	TOTAL FACTURA
EXPO      	01	2017	% 	Total_fact          	TOTAL FACTURA
ACTEXT    	01	2017	% 	Total_fact          	TOTAL FACTURA
EXPEDI    	01	2017	% 	Total_fact          	TOTAL FACTURA
PREMAA    	01	2017	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2017	% 	Total_fact          	TOTAL RECIBO
ADES      	01	2017	% 	Total_fact          	TOTAL RECIBO
MT        	03	2017	% 	Total_fact          	TOTAL RECIBO
SRECTIF   	03	2017	% 	Total_fact          	TOTAL RECIBO
MT        	03	2017	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B99287260
PROFOR    	03	2017	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B99287260
SRECTIF   	03	2017	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B99287260
MUPC      	03	2017	% 	Total_fact          	TOTAL RECIBO
MUPC      	03	2017	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B99287260
MUPC      	03	2017	% 	N_fact              	RECIBO N?
MUPC      	03	2017	% 	Cabecera            	RECIBO
MUPF      	03	2017	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B99287260
MUPF      	03	2017	% 	Total_fact          	TOTAL RECIBO
MUPF      	03	2017	% 	N_fact              	RECIBO N?
MUPF      	03	2017	% 	Cabecera            	RECIBO
SVAR      	03	2017	% 	Cabecera            	FACTURA 
MUOR      	03	2017	% 	Cabecera            	RECIBO 
PREM      	03	2017	% 	Cabecera            	RECIBO 
SVAR      	03	2017	% 	Total_fact          	TOTAL FACTURA
MUOR      	03	2017	% 	Total_fact          	TOTAL RECIBO
PREM      	03	2017	% 	Total_fact          	TOTAL RECIBO
SVAR      	03	2017	% 	N_fact              	FACTURA N?
MUOR      	03	2017	% 	N_fact              	RECIBO N?
PREM      	03	2017	% 	N_fact              	RECIBO N?
%         	03	2017	ES	pie_pagina          	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MT        	03	2017	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MUOR      	03	2017	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MUPF      	03	2017	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
PREM      	03	2017	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
PROFOR    	03	2017	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
SRECTIF   	03	2017	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
SVAR      	03	2017	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MUPC      	03	2017	% 	Pie_pagina_za       	Inscrita en el Reg. Merc. de Zaragoza, Tomo 3802, Folio 85, Hoja Z-50698, Inscripci¾n 1¬ - C.I.F. B99287260
MT        	03	2017	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
MUOR      	03	2017	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
MUPF      	03	2017	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
PREM      	03	2017	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
PROFOR    	03	2017	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
SRECTIF   	03	2017	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
SVAR      	03	2017	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
MUPC      	03	2017	% 	exento_iva          	ACTIVIDAD EXENTA DE IVA
