15        	HONORARIOS	H	HONOS		N	S	0.0	S	N	0.0	100	COAATTFE  	05	S		N	HON	N			S	S	01		N
EHE       	CURSO EHE-08	00	69	 	N	N	45.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
phc       	CURSO-PREVENCIÓN DE HUMEDADES EN CUBIERTAS	00	69	 	N	N	160.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
AUC       	CURSO AUTOCAD BASICO-MEDIO	00	69	 	N	N	90.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
AUTO      	CURSO AUTOCAD-AVANZADO	00	69	 	N	N	90.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CAMP      	CURSO AMPLIACIÓN AL CÁLCULO DE ESTRUCTURA DE HORMIGÓN ARMADO 2ª PARTE	00	69	 	N	N	138.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CPRAC     	CURSO: EJERCICIOS PRÁCTICOS  DE CÁLCULO DE ESTRUCTURAS (CYPECAD)	00	69	 	N	N	100.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
PG1       	LIBRO-PLIEGO GENERAL DE CONDICIONES 	 	69	 	N	N	33.289999999999999	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CRPR      	CERTIFICADO PERSONALIZADO	04	0	 	S	S	15.0	S	N	.75		COAATTFE  	05	N	 	N	CERTIFICADO PERSONALIZADO	N	 	S	S	N	01	 	
PALC      	CURSO: "PROYECTOS DE ACTIVIDAD DE LOCALES COMERCIALES (ADAPTADO AL CTE)"	00	69	 	N	N	80.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
PALC 2P   	CURSO: 2ªPARTE "PROYECTOS DE ACONDICIONAMIENTO Y REFORMA DE LOCALES"	00	69	 	N	N	143.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CA12      	CURSO:CURSO ARQUIMEDES 2.012	00	69	 	N	N	90.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
PATOEDF   	CURSO "PATOLOGIA DE LA EDIFICACIÓN"	 	69	 	N	N	98.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
RE.AD.C   	CURSO:"LA RESPONSABILIDAD ADMINISTRATIVA CIVIL Y PENAL EN EL PROCESO URBANIZADOR Y EDIFICATORIA"	00	69	 	N	N	50.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
L.MAN.PATO	LIBRO:"MANUAL DE PATOLOGÍA DE LA EDIFICACIÓN"	00	69	 	N	N	71.420000000000002	S	N	3.5710000000000002		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
CDACT     	CD: "ACTUALIZACIÓN DE ANTERIORES VERSIONES DE LA DOCUMENTACIÓN DEL CONTROL DE LA OBRA EN CUMPLIMIENTO DEL CTE"	00	69	 	N	N	14.279999999999999	S	N	.71399999999999997		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
DOCCTE    	LIBRO:"DOCUMENTACIÓN DEL CONTROL DE LA OBRA EN CUMPLIMIENTO DEL CTE".	00	69	 	N	N	42.850000000000001	S	N	2.1425000000000001		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
